"Cmd.","Sub cmd.","Data","Description"
"1A","05,0038","00/01","Sets or reads the PTT Start setting. (00=OFF, 01=ON)"
"1A","05,0039","00 ~ 02","Sets or reads the RTTY Mark Frequency setting. (00=1275 Hz, 01=1615 Hz, 02=2125 Hz)"
"1A","05,0040","00 ~ 02","Sets or reads the RTTY Shift Width setting. (00=170 Hz, 01=200 Hz, 02=425 Hz)"
"1A","05,0041","00/01","Sets or reads the RTTY Keying Polarity setting. (00=Normal, 01=Reverse)"
"1A","05,0042","00/01","Sets or reads the SPEECH Language setting. (00=English, 01=Japanese)"
"1A","05,0043","00/01","Sets or reads the SPEECH Speed setting. (00=Slow, 01=Fast)"
"1A","05,0044","00/01","Sets or reads the S-Level SPEECH setting. (00=OFF, 01=ON)"
"1A","05,0045","00/01","Sets or reads the MODE SPEECH setting. (00=OFF, 01=ON)"
"1A","05,0046","00 00 ~ 02 55","Sets or reads the SPEECH Level setting. (00 00=0% ~ 02 55=100%)"
"1A","05,0047","00/01","Sets or reads the [SPEECH/LOCK] Switch setting. (00=SPEECH/LOCK, 01=LOCK/SPEECH)"
"1A","05,0048","00/01","Sets or reads the Lock Function setting. (00=MAIN DIAL, 01=PANEL) When PANEL is selected, keys and dials are also locked except for AF RF/SQL, POWER, and SPEECH."
"1A","05,0049","00/01","Sets or reads the Memo Pad Quantity setting. (00=5 ch, 01=10 ch)"
"1A","05,0050","00 ~ 02","Sets or reads the MAIN DIAL Auto TS setting. (00=OFF, 01=Low, 02=High)"
"1A","05,0051","00/01","Sets or reads the MIC Up/Down Speed setting. (00=Slow, 01=Fast)"
"1A","05,0052","00/01","Sets or reads the Quick RIT/∂TX Clear setting. (00=OFF, 01=ON)"
"1A","05,0053","00 ~ 02","Sets or reads the [NOTCH] Switch (SSB) setting. (00=Auto, 01=Manual, 02=Auto/Manual)"
"1A","05,0054","00 ~ 02","Sets or reads the [NOTCH] Switch (AM) setting. (00=Auto, 01=Manual, 02=Auto/Manual)"
"1A","05,0055","00/01","Sets or reads the SSB/CW Synchronous Tuning setting. (00=OFF, 01=ON)"
"1A","05,0056","00/01","Sets or reads the CW Normal Side setting. (00=LSB, 01=USB)"
"1A","05,0057","See p. 21","Sets or reads the [VOX/BK-IN] setting."
"1A","05,0058","See p. 23","Sets or reads the [AUTOTUNE] setting."
"1A","05,0059","See p. 21","Sets or reads the [] setting."
